hostname,pci_bus_id,mean,variance,std_dev
dgxhnode1, 00000000:DF:00.0,103.73025112211893,471.4165767637048,21.712129715062613
dgxhnode2, 00000000:1B:00.0,104.5080015615251,0.5388243448593707,0.7340465549673063
dgxhnode2, 00000000:43:00.0,77.74743754915713,393.82180964199097,19.844944183393185
dgxhnode2, 00000000:52:00.0,76.25756859374583,286.0397426063427,16.912709499259506
dgxhnode2, 00000000:61:00.0,67.37586824621802,0.06347853695528406,0.2519494730204532
dgxhnode2, 00000000:9D:00.0,109.93239942157645,0.6488097138205783,0.8054872524258707
dgxhnode2, 00000000:C3:00.0,98.30626325675891,381.4873400737862,19.531700900684154
dgxhnode2, 00000000:D1:00.0,109.71533996708433,37.976751076693404,6.162527977761513
dgxhnode2, 00000000:DF:00.0,111.23857628795481,38.399970465713125,6.196770970893883
dgxhnode3, 00000000:1B:00.0,111.63637833944776,73.70172338170366,8.584970785139788
dgxhnode3, 00000000:43:00.0,111.3827287945088,0.7776858759453205,0.8818649987074668
dgxhnode3, 00000000:52:00.0,119.28650247674307,17.784695331681494,4.2171904547555705
dgxhnode3, 00000000:61:00.0,143.51324341009322,2322.164154854869,48.188838488335335
dgxhnode3, 00000000:9D:00.0,120.44101391209054,1398.5951648912012,37.39779625714864
dgxhnode3, 00000000:C3:00.0,72.2473653359833,2.790641730279523,1.6705213947386375
dgxhnode3, 00000000:D1:00.0,116.58299585124877,1.4721797723886487,1.213334155288084
dgxhnode3, 00000000:DF:00.0,129.69290617786126,1910.6842391128969,43.71137425330959
dgxhnode4, 00000000:1B:00.0,91.11707809019568,1671.0917112823186,40.87898862841788
dgxhnode4, 00000000:43:00.0,105.63836890299423,1381.2757854865852,37.165518770583375
dgxhnode4, 00000000:52:00.0,149.35404275447186,4695.049908625067,68.52043424136384
dgxhnode4, 00000000:61:00.0,250.01849447962533,1502.8824410820318,38.76702775661337
dgxhnode4, 00000000:9D:00.0,114.65167386621981,0.7093279650812508,0.8422161035513693
dgxhnode4, 00000000:C3:00.0,111.52061601990162,43.90620181953105,6.62617550473356
dgxhnode4, 00000000:D1:00.0,106.14140963148726,226.52506770087012,15.050749738829296
dgxhnode4, 00000000:DF:00.0,101.2374885933632,351.62883976429845,18.751768976933842
dgxhnode5, 00000000:1B:00.0,111.72781250399714,28.262990269965822,5.316294787722538
dgxhnode5, 00000000:43:00.0,69.32186474262303,0.580638272186036,0.7619962415826184
dgxhnode5, 00000000:52:00.0,144.33170591582908,1071.1902047636463,32.72904222191121
dgxhnode5, 00000000:61:00.0,70.18446577794197,0.7294055513188356,0.8540524289051789
dgxhnode5, 00000000:9D:00.0,70.03431156063134,0.327116005450126,0.5719405611163856
dgxhnode5, 00000000:C3:00.0,68.6267498507913,0.6432968580210585,0.8020578894450565
dgxhnode5, 00000000:D1:00.0,69.94273391062787,1.0088058797038442,1.0043932893562382
dgxhnode5, 00000000:DF:00.0,71.85367370888184,1.5645164033926273,1.250806301308331
dgxhnode6, 00000000:1B:00.0,70.30508478846804,1.1056079151451443,1.051478918069756
dgxhnode6, 00000000:43:00.0,68.15238998053083,0.5372374599585356,0.7329648422390637
dgxhnode6, 00000000:52:00.0,71.12034398491483,1.4097868339777349,1.1873444462234768
dgxhnode6, 00000000:61:00.0,69.31896293838886,0.31987766266451306,0.5655772826630443
dgxhnode6, 00000000:9D:00.0,68.24985909974329,0.5871953455695654,0.7662867254295649
dgxhnode6, 00000000:C3:00.0,67.78403940842131,0.4041127931400689,0.6356986653596726
dgxhnode6, 00000000:D1:00.0,68.62110138346789,0.6043049241120422,0.7773705191940599
dgxhnode6, 00000000:DF:00.0,69.10897419714378,0.4536576549496287,0.6735411308521765
