hostname,timestamp,power_watts
dgxanode04,2026-02-05 00:00:00,101901.03
dgxanode04,2026-02-05 00:05:00,102419.51
dgxanode04,2026-02-05 00:10:00,105250.62
dgxanode04,2026-02-05 00:15:00,100706.77
dgxanode04,2026-02-05 00:20:00,101046.78
dgxanode04,2026-02-05 00:25:00,102239.42
dgxanode04,2026-02-05 00:30:00,90740.54
dgxanode04,2026-02-05 00:35:00,94832.0
dgxanode04,2026-02-05 00:40:00,100735.47
dgxanode04,2026-02-05 00:45:00,99909.66
dgxanode04,2026-02-05 00:50:00,99054.86
dgxanode04,2026-02-05 00:55:00,101655.03
dgxanode04,2026-02-05 01:00:00,102328.86
dgxanode04,2026-02-05 01:05:00,100850.33
dgxanode04,2026-02-05 01:10:00,100906.14
dgxanode04,2026-02-05 01:15:00,100770.72
dgxanode04,2026-02-05 01:20:00,101326.76
dgxanode04,2026-02-05 01:25:00,98803.34
dgxanode04,2026-02-05 01:30:00,99066.91
dgxanode04,2026-02-05 01:35:00,100898.64
dgxanode04,2026-02-05 01:40:00,101014.88
dgxanode04,2026-02-05 01:45:00,76423.42
dgxanode04,2026-02-05 01:50:00,64829.04
dgxanode04,2026-02-05 01:55:00,64698.44
dgxanode04,2026-02-05 02:00:00,65886.43
dgxanode04,2026-02-05 02:05:00,77434.69
dgxanode04,2026-02-05 02:10:00,96001.02
dgxanode04,2026-02-05 02:15:00,92134.91
dgxanode04,2026-02-05 02:20:00,64989.24
dgxanode04,2026-02-05 02:25:00,65766.71
dgxanode04,2026-02-05 02:30:00,65798.3
dgxanode04,2026-02-05 02:35:00,65955.92
dgxanode04,2026-02-05 02:40:00,73682.46
dgxanode04,2026-02-05 02:45:00,78595.87
dgxanode04,2026-02-05 02:50:00,96678.88
dgxanode04,2026-02-05 02:55:00,96917.74
dgxanode04,2026-02-05 03:00:00,72890.57
dgxanode04,2026-02-05 03:05:00,65648.6
dgxanode04,2026-02-05 03:10:00,64519.29
dgxanode04,2026-02-05 03:15:00,65960.93
dgxanode04,2026-02-05 03:20:00,65638.57
dgxanode04,2026-02-05 03:25:00,65804.98
dgxanode04,2026-02-05 03:30:00,77715.3
dgxanode04,2026-02-05 03:35:00,93930.08
dgxanode04,2026-02-05 03:40:00,76865.27
dgxanode04,2026-02-05 03:45:00,96505.75
dgxanode04,2026-02-05 03:50:00,65358.49
dgxanode04,2026-02-05 03:55:00,65774.34
dgxanode04,2026-02-05 04:00:00,65214.01
dgxanode04,2026-02-05 04:05:00,65780.6
dgxanode04,2026-02-05 04:10:00,65810.35
dgxanode04,2026-02-05 04:15:00,65280.08
dgxanode04,2026-02-05 04:20:00,65910.51
dgxanode04,2026-02-05 04:25:00,65362.06
dgxanode04,2026-02-05 04:30:00,65782.66
dgxanode04,2026-02-05 04:35:00,65747.92
dgxanode04,2026-02-05 04:40:00,65262.04
dgxanode04,2026-02-05 04:45:00,65896.4
dgxanode04,2026-02-05 04:50:00,65828.38
dgxanode04,2026-02-05 04:55:00,65728.6
dgxanode04,2026-02-05 05:00:00,65299.14
dgxanode04,2026-02-05 05:05:00,65699.31999999999
dgxanode04,2026-02-05 05:10:00,65718.36
dgxanode04,2026-02-05 05:15:00,65805.85
dgxanode04,2026-02-05 05:20:00,66013.44
dgxanode04,2026-02-05 05:25:00,65217.88
dgxanode04,2026-02-05 05:30:00,65884.52
dgxanode04,2026-02-05 05:35:00,65804.4
dgxanode04,2026-02-05 05:40:00,65207.8
dgxanode04,2026-02-05 05:45:00,65949.47
dgxanode04,2026-02-05 05:50:00,65632.7
dgxanode04,2026-02-05 05:55:00,65604.55
dgxanode04,2026-02-05 06:00:00,65821.82
dgxanode04,2026-02-05 06:05:00,65821.3
dgxanode04,2026-02-05 06:10:00,65359.2
dgxanode04,2026-02-05 06:15:00,65710.33
dgxanode04,2026-02-05 06:20:00,65898.82
dgxanode04,2026-02-05 06:25:00,65787.61
dgxanode04,2026-02-05 06:30:00,65261.85
dgxanode04,2026-02-05 06:35:00,65800.47
dgxanode04,2026-02-05 06:40:00,65854.82
dgxanode04,2026-02-05 06:45:00,65783.76
dgxanode04,2026-02-05 06:50:00,65408.25
dgxanode04,2026-02-05 06:55:00,65803.61
dgxanode04,2026-02-05 07:00:00,65917.63
dgxanode04,2026-02-05 07:05:00,65212.89
dgxanode04,2026-02-05 07:10:00,65759.48
dgxanode04,2026-02-05 07:15:00,65339.78
dgxanode04,2026-02-05 07:20:00,65926.79
dgxanode04,2026-02-05 07:25:00,65778.69
dgxanode04,2026-02-05 07:30:00,65821.72
dgxanode04,2026-02-05 07:35:00,65798.84
dgxanode04,2026-02-05 07:40:00,65810.23
dgxanode04,2026-02-05 07:45:00,64762.76
dgxanode04,2026-02-05 07:50:00,65810.24
dgxanode04,2026-02-05 07:55:00,65791.45
dgxanode04,2026-02-05 08:00:00,65726.78
dgxanode04,2026-02-05 08:05:00,65793.04
dgxanode04,2026-02-05 08:10:00,65273.32
dgxanode04,2026-02-05 08:15:00,65695.18
dgxanode04,2026-02-05 08:20:00,65403.57
dgxanode04,2026-02-05 08:25:00,65807.78
dgxanode04,2026-02-05 08:30:00,65666.52
dgxanode04,2026-02-05 08:35:00,65179.97
dgxanode04,2026-02-05 08:40:00,65672.0
dgxanode04,2026-02-05 08:45:00,65724.87
dgxanode04,2026-02-05 08:50:00,65843.92
dgxanode04,2026-02-05 08:55:00,65725.25
dgxanode04,2026-02-05 09:00:00,68536.46
dgxanode04,2026-02-05 09:05:00,88492.88
dgxanode04,2026-02-05 09:10:00,88789.28
dgxanode04,2026-02-05 09:15:00,90138.22
dgxanode04,2026-02-05 09:20:00,91508.0
dgxanode04,2026-02-05 09:25:00,89692.69
dgxanode04,2026-02-05 09:30:00,90488.29
dgxanode04,2026-02-05 09:35:00,87685.54999999999
dgxanode04,2026-02-05 09:40:00,90122.62
dgxanode04,2026-02-05 09:45:00,91505.62
